Address	City	Zip	Area	Yr Blt	BR	 HB	FB	Garage	Garage	Garage_2	Garage_3	Garage_4	Garage_5	Garage_6	SF (M+U)	Status	DOM	Sales Date	LP	Sale Pr	LAgt	LAgt Name	LAgt Ph#	SAgt	SAgt Name	SAgt Ph#
12234 N 100 E	ALEXANDRIA	46001	4805	1954	3	1	1	Y	2CDTC	  	  	  	  	  	1400	SOLD	210	09/20/2013	44,975	35,000	10767	Terri Brenner	765-724-9285	10767	Terri Brenner	765-724-0082
3086 N 100 W	ANDERSON	46012	4810	1956	3	1	1	Y	2CATC	  	  	  	  	  	2210	SOLD	61	05/17/2013	51,000	40,500	10820	Richard Melton	765-683-1490	33538	Susan Engbrecht	317-841-8880
2268 S 1000 W	LAPEL	46051	4809	1998	3	0	2	Y	2CDTC	  	  	  	  	  	1048	SOLD	106	03/27/2013	31,500	32,000	11704	Kelly Wood	765-534-3749	21534	David Dewaelsche	317-626-5360
3646 E 100S	ANDERSON	46017	4814	1969	3	0	2	Y	2CATC	  	  	  	  	  	1450	SOLD	27	01/28/2013	36,900	40,050	26708	Joni Bragg	765-617-0809	10629	Bill Carter	765-617-9799
2427 E 10th St	ANDERSON	46012	4813	1954	2	0	1	Y	1CATC	  	  	  	  	  	894	SOLD	43	01/29/2013	8,900	8,000	15024	Hugh Blackwood	317-814-4844	22937	Deidra Ballard	765-640-1900
3437 E 10TH ST	ANDERSON	46012	4814	1994	4	1	2	Y	2CATC	  	  	  	  	  	2150	SOLD	108	06/10/2013	145,900	137,000	29045	Ted Moss	765-730-6677	16433	Jada Sparks	765-640-2080
269 E 1100	ALEXANDRIA	46001	4805	1899	3	0	1	Y	1CDTC	  	  	  	  	  	516	SOLD	18	02/07/2013	16,900	16,900	10820	Richard Melton	765-683-1490	10820	Richard Melton	765-683-1490
4489 E 1100	ALEXANDRIA	46001	4805	1996	3	0	2	Y	2CATC	3CDTC	  	  	  	  	1899	SOLD	7	04/12/2013	174,900	176,900	12400	Bonnie Flint	765-278-6984	12400	Bonnie Flint	765-278-6984
3934 W 1150 n	Alexandria	46001	4805	1989	2	0	1	Y	3CDTC	OTHER	  	  	  	  	1350	SOLD	107	05/29/2013	108,000	95,000	32321	Reanna Southard	  	32321	Reanna Southard	765-643-3357
2839 W 11TH ST	ANDERSON	46011	4812	1955	3	0	1	Y	1CATC	  	  	  	  	  	1252	SOLD	95	03/12/2013	30,400	20,000	18578	Regina Nottingham-Briles	317-850-3286	28053	Angela Strickler	765-640-1900
2111 W 12th ST	Anderson	46016	4812	1958	3	0	2	Y	2CATC	  	  	  	  	  	1691	SOLD	107	03/29/2013	20,000	20,050	11189	Ben Crouch	  	10820	Richard Melton	765-683-1490
