Address	City	Zip	Area	Yr Blt	BR	 HB	FB	Garage	Garage	Garage_2	Garage_3	Garage_4	Garage_5	Garage_6	SF (M+U)	Status	DOM	Sales Date	LP	Sale Pr	LAgt	LAgt Name	LAgt Ph#	SAgt	SAgt Name	SAgt Ph#
6440 E ABLINGTON CT	CAMBY	46113	5504	2006	4	1	2	Y	3CATC	  	  	  	  	  	3124	SOLD	43	01/29/2013	152,000	137,447	10090	Chris Schlosser	  	10792	Sherry Baughn	317-273-1727
13064 N ALLMAN EAST ST	MOORESVILLE	46158	5502	1962	3	1	1	N	NONE	  	  	  	  	  	1325	SOLD	29	04/03/2013	78,900	74,000	21064	Darrell Cecil	765-318-1676	10090	Chris Schlosser	317-523-3037
3913 ARNOLD AVE	MARTINSVILLE	46151	5510	2003	3	0	2	Y	2CATC	  	  	  	  	  	1978	SOLD	106	03/22/2013	164,000	160,000	20218	Stephen Bright	317-422-1958	26637	Stephanie Stewart	317-831-1313
1499 S ARTHUR RD	PARAGON	46166	5513	2006	3	0	2	N	NONE	  	  	  	  	  	2240	SOLD	0	06/19/2013	50,000	50,000	4502	Tara Jahnke	765-318-1474	4502	Tara Jahnke	  
13690 N AYRSHIRE CIR	CAMBY	46113	5504	2001	3	1	2	Y	2CATC	  	  	  	  	  	1754	SOLD	28	08/15/2013	92,000	90,000	6385	Scott Smith	317-788-6388	18330	Lori Argue	317-996-2287
107 AZALEA DR	MOORESVILLE	46158	5503	1999	3	1	2	Y	1CATC	  	  	  	  	  	1568	SOLD	90	04/19/2013	95,000	90,000	12611	Kyle Johnson	317-881-7900	31672	Laura Turner	317-570-3800
10260 N BAILEY MARIE CT	MOORESVILLE	46158	5504	2000	4	1	2	Y	2CATC	  	  	  	  	  	2732	SOLD	43	03/29/2013	275,000	268,000	18702	Jeffrey Paxson	317-679-2121	9999	. Non-BLC Member	317-956-1912
13186 N BECKS GROVE DR	CAMBY	46113	5504	2002	3	1	2	Y	2CATC	  	  	  	  	  	2018	SOLD	96	06/06/2013	120,000	113,800	18702	Jeffrey Paxson	317-679-2121	23707	Gary Blake	317-695-6700
13207 N BECKS GROVE DR	CAMBY	46113	5504	2002	4	1	2	Y	2CATC	  	  	  	  	  	1912	SOLD	53	03/11/2013	98,000	90,500	10090	Chris Schlosser	  	23707	Gary Blake	317-695-6700
13093 N BRICK CHAPEL DR	CAMBY	46113	5504	2001	3	0	2	Y	2CATC	  	  	  	  	  	1455	SOLD	10	06/04/2013	71,000	62,300	6385	Scott Smith	317-788-6388	16440	Nancy Warfield	317-409-0016
13130 N BRICK CHAPEL DR	CAMBY	46113	5504	2002	3	0	2	Y	2CATC	  	  	  	  	  	1224	SOLD	74	01/24/2013	98,000	93,000	31818	Jason Trimbur	317-381-1116	1198	Dianna Grindean	  
